KIC, group, n_modes, numax, numax_err, delta_nu, Teff, Teff_err, Fe_H, alpha_Fe, eccentricity, mass_16, mass, mass_84, radius_16, radius, radius_84, age_16, age, age_84
2443903 , C , 6 ,  66.21 ,   1.13 ,  6.930 ,   4787 ,  79 , -0.57 ,  0.30 , 0.256 ,  0.88 ,  0.89 ,  0.92 ,  6.69 ,  6.72 ,  6.80 , 11.37 , 12.78 , 13.57     
2971380 , A , 6 ,  77.37 ,   1.32 ,  7.839 ,   5086 , 110 , -0.85 ,  0.17 , 0.887 ,  0.85 ,  0.89 ,  0.91 ,  6.10 ,  6.19 ,  6.24 ,  9.66 , 10.52 , 12.02     
3553435 , C , 6 ,  41.73 ,   0.71 ,  4.737 ,   4691 ,  91 , -0.63 ,  0.30 , 0.293 ,  0.88 ,  0.91 ,  0.93 ,  8.49 ,  8.60 ,  8.68 , 10.58 , 11.78 , 13.46     
3936507 , C , 6 ,  33.02 ,   0.56 ,  4.044 ,   4693 ,  85 , -0.50 ,  0.17 , 0.165 ,  0.91 ,  0.94 ,  0.96 ,  9.70 ,  9.80 ,  9.88 ,  9.97 , 10.64 , 11.75     
4136835 , C , 7 ,  77.99 ,   1.33 ,  7.158 ,   4956 ,  84 , -0.63 ,  0.29 , 0.178 ,  1.42 ,  1.46 ,  1.49 ,  7.81 ,  7.87 ,  7.93 ,  2.03 ,  2.21 ,  2.40     
4143467 , A , 6 ,  48.81 ,   0.83 ,  5.605 ,   4975 ,  88 , -1.55 ,  0.34 , 0.997 ,  0.84 ,  0.85 ,  0.86 ,  7.59 ,  7.63 ,  7.67 ,  9.75 , 10.29 , 10.87     
4345370 , C , 5 ,  32.48 ,   0.55 ,  4.033 ,   4791 ,  77 , -1.04 ,  0.21 , 0.370 ,  0.89 ,  0.91 ,  0.96 ,  9.58 ,  9.67 ,  9.85 ,  7.58 ,  9.15 , 10.02     
4637699 , C , 6 ,  54.79 ,   0.93 ,  6.046 ,   4979 ,  96 , -1.10 ,  0.26 , 0.422 ,  0.86 ,  0.87 ,  0.89 ,  7.26 ,  7.30 ,  7.35 ,  9.68 , 10.48 , 11.13     
4664515 , C , 6 , 186.77 ,   3.18 , 15.650 ,   4868 , 100 , -0.69 ,  0.27 , 0.590 ,  0.83 ,  0.86 ,  0.90 ,  3.87 ,  3.92 ,  3.98 , 11.41 , 13.31 , 15.09     
4729920 , C , 7 , 153.75 ,   2.61 , 13.326 ,   4893 ,  97 , -0.67 ,  0.22 , 0.507 ,  0.95 ,  0.96 ,  0.98 ,  4.50 ,  4.51 ,  4.54 ,  8.26 ,  8.86 ,  9.20     
4737942 , C , 5 ,  24.38 ,   0.41 ,  3.110 ,   4584 ,  67 , -0.59 ,  0.24 , 0.378 ,  0.97 ,  0.99 ,  1.05 , 11.68 , 11.75 , 12.02 ,  6.90 ,  8.78 ,  9.35     
4856592 , C , 7 , 202.93 ,   3.45 , 16.596 ,   4952 ,  84 , -0.64 ,  0.12 , 0.414 ,  0.88 ,  0.91 ,  0.94 ,  3.81 ,  3.84 ,  3.89 ,  9.43 , 10.67 , 11.79     
5107950 , C , 6 ,  43.99 ,   0.75 ,  4.933 ,   4716 ,  76 , -0.58 ,  0.24 , 0.091 ,  0.94 ,  0.96 ,  0.98 ,  8.54 ,  8.59 ,  8.66 ,  8.97 ,  9.85 , 10.57     
5206349 , B , 7 , 104.71 ,   1.78 ,  9.765 ,   4915 ,  88 , -0.64 ,  0.11 , 0.153 ,  0.99 ,  1.00 ,  1.03 ,  5.57 ,  5.60 ,  5.65 ,  6.73 ,  7.36 ,  7.87     
