2M00003649+7948407  565014703117182592 2.87 4599 -0.25  -379.19    13.41    14.15    12.59     0.658  3069  8.56   nan    1.02 0 1
2M00034778+5846206  423136402735236864 2.88 4528 -0.24  -545.13    14.59    15.85    13.47     2.303  2842  8.68   nan    0.99 0 1
2M00050936-7738321 4683821304130342656 3.47 4463 -0.60  -946.19    18.78 -9999.00 -9999.00 -9999.000 -9999  7.18   nan    3.47 0 1
2M00092789+0145417 2546735428356062080 3.65 4487 -0.47  -814.25    14.69    15.23    13.98     0.000  2113 13.60   nan    1.02 0 1
2M00103298+0003157 2545851421007185920 3.63 4993 -0.52  -288.72    14.22    14.68    13.60     0.000  1538  1.65   nan    6.02 0 1
2M00104203+0152065 2546731476986185600 3.42 4672 -0.11  -461.71    11.17    11.74    10.50     0.000   468  5.33   nan    0.87 1 1
2M00113556+6914125  530619024464110336 2.40 4327 -0.45  -325.64    15.56    17.03    14.36     2.715  4493 12.76   nan    1.04 0 1
2M00114326+7112562  531291616343678080 3.30 4623 -0.54  -705.66    16.70    17.80    15.65     2.139  4696 12.31   nan    0.99 0 1
2M00132076+7333410  537914490273013632 2.99 4548 -0.30  -478.48    14.75    15.52    13.89     0.768  2461  5.94   nan    1.01 0 1
2M00184041-7224229 4689592911251564544 2.87 5013 -0.65  -309.83    15.15    15.62    14.53     0.092  3179  1.51   nan    0.93 0 1
2M00202366+6258175  430620228633051904 3.34 4343 -0.09  -658.12    15.97    17.06    14.91     2.358  3424 15.61   nan    0.97 0 1
2M00212308+7038377  531027664833339392 2.50 4267 -0.30  -405.94    14.92    16.20    13.80     1.919  7022 14.39   nan    1.01 0 1
2M00212949+5806379  422129250083421568 3.02 4417 -0.86  -836.19    15.67    16.69    14.64     1.563  6700 14.41   nan    1.01 0 1
2M00213685-7204435 4689618891515852160 2.56 4825 -0.64  -502.76    13.72    14.27    13.03     0.091  5147  1.52   nan    0.98 0 0
2M00221750-7206285 4689638442211457920 2.34 4720 -0.68  -378.17    13.93    14.47    13.25     0.095  4325  1.55   nan    1.00 0 0
2M00222582-7207072 4689638407851742464 2.38 4692 -0.72  -526.70    13.60    14.16    12.91     0.095  4475  1.75   nan    0.98 0 1
2M00223545-7212596 4689625007551019136 2.59 5297 -0.90  -346.80    13.84    14.23    13.30     0.095  4291  2.04   nan    0.93 0 0
2M00223856-7202083 4689641878184846464 2.77 4869 -0.69  -308.34    14.23    14.74    13.56     0.095  3874  1.50   nan    0.91 0 0
2M00224100-7201462 4689642629818274176 2.61 4811 -0.73  -388.69    14.27    14.78    13.60     0.095  4067  1.53   nan    1.17 0 0
2M00224308-7200330 4689642702818392960 2.59 4810 -0.74  -533.63    14.23    14.71    13.53     0.091  5120  1.55   nan    1.00 0 1
2M00224887-7205587 4689638300460480640 2.43 4767 -0.68  -585.18    13.54    14.09    12.84     0.095  4820  1.57   nan    1.04 0 1
2M00225680-7158291 4689643390013939968 2.64 4780 -0.71  -426.55    14.26    14.78    13.60     0.091  4411  1.61   nan    0.99 0 0
2M00230182-7203068 4689641946904350720 2.64 4883 -0.65  -546.75    14.01    14.52    13.32     0.095  3534  1.61   nan    1.09 0 0
2M00230716-7203053 4689641946904328576 2.47 4788 -0.68  -404.19    14.05    14.56    13.36     0.095  5321  1.51   nan    1.06 0 0
2M00230998-7209489 4689625793517924480 2.39 4681 -0.73  -378.99    13.90    14.40    13.19     0.095  4542  1.69   nan    1.53 0 0
2M00231818-7207466 4689637617577703808 2.32 4702 -0.68  -555.90    13.28    13.83    12.55     0.095  3545  1.65   nan    1.45 0 1
2M00231878-7159552 4689642324861105920 2.83 4918 -0.66  -515.46    14.31    14.80    13.64     0.095  3982  1.76   nan    1.68 0 0
2M00232032-7158595 4689643145185459072 2.41 4702 -0.63  -575.57    13.57    14.13    12.87     0.095  4545  1.64   nan    1.03 0 0
2M00232825-7207580 4689637578914081024 2.33 4646 -0.64  -578.05    13.43    13.99    12.71     0.095  3881  1.67   nan    1.20 0 0
2M00233697-7205583 4689637961174887168 2.66 4835 -0.73  -489.74    14.23    14.65    13.50     0.095  1551  1.70   nan    4.63 0 0
2M00235967-7145258 4689838347155159680 2.93 4950 -0.69  -391.12    15.04    15.52    14.40     0.089  4012  1.53   nan    0.95 0 1
2M00240275-7203181 4689640297628884736 2.69 4439 -1.05  -921.26    11.91    12.66    11.06     0.088  3398 13.92   nan    1.11 0 1
2M00241134-7648592 4683975373197329664 3.20 5034 -0.89  -348.85    15.62    16.10    14.98     0.182  3775  4.65   nan    0.97 0 0
2M00241754-7200159 4689640671311342720 2.61 4845 -0.72  -374.82    14.29    14.74    13.59     0.088  5229  1.72   nan    1.03 0 0
2M00242467-7203387 4689639610441290368 2.58 4785 -0.74  -342.74    14.29    14.67    13.53     0.088  1731  1.59   nan    1.31 0 0
2M00242753+5407217  419520761828945280 3.78 4902  0.07  -313.24    14.63    15.24    13.90     0.686  1360  6.16   nan    1.08 0 1
2M00244002-7155449 4689644111567130112 2.53 4730 -0.70  -528.05    13.65    14.20    12.95     0.088  4556  2.29   nan    0.99 0 1
2M00250528-7203446 4689628031207193088 3.15 5537 -0.70  -358.36    13.79    14.19    13.20     0.088  6296  7.37   nan    2.94 0 0
2M00250570-7201545 4689639850959315072 2.31 4629 -0.75  -589.98    13.48    14.00    12.75     0.088  4404  1.71   nan    3.52 0 0
2M00250693-7203064 4689628031207181312 2.68 4784 -0.60  -502.86    13.87    14.40    13.19     0.088  5182  1.51   nan    1.16 0 0
2M00252866-7201200 4689639885318980224 2.34 4627 -0.74  -463.05    13.59    14.15    12.90     0.088  5036  2.81   nan    1.00 0 0
2M00252904-7203030 4689628061260674304 2.48 4703 -0.75  -471.99    13.29    13.86    12.57     0.088  4792  6.16   nan    1.06 0 0
2M00253046-7158071 4689641019190234496 2.43 4722 -0.65  -543.50    13.35    13.92    12.63     0.088  4189  2.86   nan    0.96 0 0
2M00254702-7159035 4689646070074296960 2.49 4725 -0.70  -498.52    13.92    14.45    13.23     0.088  5270  1.68   nan    1.05 0 0
2M00255794-7205136 4689632669773531520 2.53 4751 -0.69  -401.58    13.90    14.44    13.22     0.088  4482  1.91   nan    0.97 0 1
2M00260168-7204422 4689632669773515392 2.38 4684 -0.70  -502.30    13.85    14.40    13.17     0.088  4249  1.55   nan    1.04 0 0
2M00260276-7203183 4689632974708827776 2.56 4777 -0.66  -491.69    13.82    14.36    13.14     0.088  4838  1.61   nan    0.98 0 0
2M00261840-7206369 4689629405598401664 2.74 4857 -0.69  -473.56    14.24    14.74    13.57     0.088  4448  1.63   nan    1.09 0 0
2M00272990-7739357 4635831779106932992 2.81 5102 -1.53  -499.08    15.94    16.37    15.34     0.161  4722  2.93   nan    1.08 0 1
2M00284657+0321391 2547892973582849920 3.58 4636 -0.10  -611.89    10.58    11.11     9.93     0.000   272  7.14 11.97    0.90 0 1
2M00291886+6947132  530143416966542464 3.02 4402  0.05  -336.80    16.85    18.40    15.63     3.126  6584 14.78   nan    1.00 0 0
2M00293898+6641295  527834373828895872 2.61 4626 -0.52  -527.96    17.73    19.30    16.48     3.948  3944  8.70   nan    0.98 0 1
2M00300919-7205488 4689955170265629184 3.22 4653 -0.60  -630.27    15.55    16.10    14.86     0.086  4249  7.08   nan    0.95 0 1
2M00305919+0003565 2543655009092616832 2.83 4330  0.17  -373.73    12.08    12.76    11.30     0.110  1398  8.85   nan    1.25 0 1
2M00315894+6246085  430742373199250048 2.63 4458 -0.48  -428.68    15.97    17.56    14.70     3.592  3482 14.78   nan    1.02 0 1
2M00331472+5905469  428409969739108992 3.19 4288 -0.31  -667.27    16.24    17.44    15.14     2.057  3830 18.55   nan    0.99 0 1
2M00350217+3147487 2859681348431108096 3.65 4418 -0.21  -794.41    13.22    13.82    12.50     0.219   932  9.52   nan    0.97 0 1
2M00353683+5533143  418577930603886464 3.21 4585 -0.09  -508.15    15.06    15.84    14.20     0.823  2376  6.04   nan    1.02 0 1
2M00360815+5936381  425541928018998144 2.75 4997  0.20  -308.54    13.80    14.76    12.84     1.837  3588  3.13   nan    1.01 0 1
2M00373811+5912258  425421600215444864 3.00 4552 -0.91  -813.15    14.76    15.55    13.88     1.700  1375 16.40   nan    0.95 0 1
2M00380706+5905477  425417580126193920 3.31 4394 -0.34  -713.86    13.63    14.88    12.53     2.276  1350 16.71   nan    1.10 0 1
2M00383312+5119064  415658314912135296 3.05 4660 -0.71  -494.55    14.28    14.93    13.50     0.356  4060 17.00   nan    1.01 0 1
2M00434887+1846525 2783161798769417600 3.35 4347 -0.41  -873.78    10.73    11.34    10.01     0.165   450 12.06   nan    1.21 1 1
2M00442050+3216516  360833366612548352 3.76 5234 -0.71  -396.00    13.72    14.16    13.12     0.247   931  1.57   nan    1.08 0 0
2M00503537+6641492  526191566022067200 2.63 4587 -0.35  -331.53    14.16    15.22    13.13     2.358  4278  8.52   nan    1.14 0 1
2M00511798-6744434 4704393716441560576 2.98 5278 -1.37  -400.74    15.38    15.75    14.83     0.064  5724  6.84   nan    0.97 0 0
2M00514295+6741536  526714658676507392 2.73 4592 -0.37  -414.38    16.52    18.16    15.27     3.044  2856 10.22   nan    0.98 0 1
2M00521095-7315385 4685934015790737280 2.51 4574 -0.45  -444.49    15.77    16.43    14.93     1.421  8871 11.41   nan    1.00 0 1
2M00523559+6743393  526713387366179584 2.37 4403 -0.79  -329.74    14.77    16.20    13.60     2.989  2706 15.01   nan    1.02 0 1
2M00524910-2640072 2342902740120458624 2.38 4907 -1.17  -373.83    14.71    15.22    14.06     0.027  4447  1.52   nan    0.92 0 0
2M00562239-2625494 2344232943029716736 3.71 4393 -0.43  -835.61    12.67    13.21    12.00     0.165   701 14.20   nan    1.00 0 1
2M00592517-7034395 4691635601988777728 2.46 4424 -0.86  -379.42    12.94    13.56    12.21     0.082  4423 19.20   nan    0.92 0 0
